,ltt,lgt,land_no,cluster
3,13.899888328446696,100.7056610081552,103583,1
4,13.90001408355974,100.70564943954936,103584,1
5,13.900148822724397,100.70563704564972,103585,1
6,13.90029254500578,100.70562382481728,103586,1
7,13.90042728389149,100.70561142966751,103587,1
8,13.900553039087969,100.70559986230904,103588,1
9,13.900678795546453,100.70558829347428,103589,1
10,13.900804551601317,100.70557672861662,103590,1
11,13.900939289173149,100.70556433370176,103591,1
12,13.901083010674151,100.70555111370643,103592,1
13,13.901217750265156,100.70553871928315,103593,1
14,13.901343507148646,100.70552715026938,103594,1
15,13.90146926274682,100.70551558328548,103595,1
16,13.90159501941944,100.70550401387828,103596,1
17,13.901730720793608,100.705490633816,103597,1
18,13.90176921676738,100.70571385199344,103598,1
19,13.901610145222614,100.7057315675326,103599,1
20,13.901484173594238,100.7057431785,103600,1
21,13.90135820054838,100.70575479136473,103601,1
22,13.901232230824862,100.7057664030564,103602,1
23,13.901100446839918,100.70578059027704,103603,1
24,13.9009508766882,100.70579428773078,103604,1
25,13.900818325563788,100.70580454993964,103605,1
26,13.900692355279306,100.7058161638988,103606,1
27,13.900566382173547,100.70582777507136,103607,1
28,13.900440410382982,100.7058393877506,103608,1
29,13.900308808506644,100.705853595457,103609,1
30,13.90015926528693,100.70586724387978,103610,1
31,13.900026518243648,100.70587756536558,103611,1
32,13.899900549408503,100.70588919037496,103612,1
33,13.899857019982484,100.70530278503696,104636,2
34,13.899980139173026,100.70529194707012,104637,2
35,13.90010325671484,100.70528110874486,104638,2
36,13.90022637566326,100.70527027021735,104639,2
37,13.90034949324542,100.70525943210048,104640,2
38,13.900480231840763,100.70524792082117,104641,2
39,13.900618627540185,100.70523573588204,104642,2
40,13.90074940103112,100.70522422279612,104643,2
41,13.900872516674331,100.70521338541543,104644,2
42,13.900995635722907,100.7052025469864,104645,2
43,13.901118753233735,100.70519170885126,104646,2
44,13.90124187126674,100.70518086852972,104647,2
45,13.901372609944351,100.70516935928926,104648,2
46,13.901511004698712,100.7051571764343,104649,2
47,13.901653692087876,100.70515319725098,104650,2
48,13.901692921454122,100.70535069336697,104651,2
49,13.901539210166918,100.70537585151352,104652,2
50,13.901395274385829,100.70538909126972,104653,2
51,13.901267142600272,100.7053988117691,104654,2
52,13.901144078575738,100.70541013400718,104655,2
53,13.901021014226655,100.70542145471012,104656,2
54,13.90089795088045,100.70543277479368,104657,2
